ep1,econviol,emotvio,physvio,sexvio,sexphys,typevio,physcur,sexcur,emotcur,sexphcur,npsexvio,npsexviocur,npatmpsexvio,npatmpsexcur,nptouching,nptouchingcur,npsexabuse,npsexabusecur,w_religion,earlymarriage,justify,CONTROLLING,CONTROL,CONTROLNUM,anyIPV,diffage,sumdiffage,p_employ,EP3,ageyr5,ageyr10,EM,sQ601a,sQ601b,sQ601c,sQ601d,sQ601e,sQ601f,tQ602a,tQ602b,tQ602c,tQ602d,sQ607a,sQ607b,sQ607c,sQ607d,sQ607e,EP2,FCMAR,edresp,employstatus,SourceIncome,ETHNICITY,Fam_support,mcv1006,mcv1006a,mcv1006b,Q501R,agepartner,edpart,men_alcohol_all,mcv1008,mcv1009,Q513R,Q515R,Q516R,Q702,Q702R,eQ703a,eQ703b,eQ703c,eQ703d,eQ703e,eQ703f,eQ703g,eQ703h,country,weighing,rQ701a,rQ701b,rQ701c,rQ701d,HighIncome,Island,Governance,HDI,LAWDV,Governance1,HDI1,LAWDV1
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,no,0,none,no,-6,Woman is older,yes,currently no partner,25-29,25-34,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,secondary,Not working,Support from relatives/friends,African,yes,no,no,no,21,15-24,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.380645751617647,no,no,no,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,no,yes,yes,sexual only,no,no,no,no,yes,no,no,no,yes,no,yes,no,Christian,not married/cohabitated,yes,yes,1,1,yes,17, Partner at least 9 years older,yes,currently no partner,15-19,15-24,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,formerly partnered,not married/cohabitated,secondary,Not working,Support from relatives/friends,African,no,no,no,no,35,35-44,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,yes,no,no,no,no,no,Guyana,.665511893137255,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,yes,3,3+,yes,-20,Woman is older,yes,currently no partner,60-64,55-64,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,no/primary,Out of the labor force,No income/pension/social services/other,African,yes,no,no,yes,44,35-44,no/primary,yes,yes,yes,yes,yes,no,frequently,frequently,yes,yes,yes,no,no,no,no,no,Guyana,.473327089068627,no,no,no,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,3,3+,yes,0,Partner at most 3 years older,yes,currently married,30-34,25-34,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Working,Support from partner/husband,Mixed,yes,no,yes,yes,34,25-34,secondary,no,no,yes,no,yes,no,rarely/never/NA,rarely/never/NA,no,no,yes,yes,no,no,no,yes,Guyana,.452575706127451,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,3,Partner at most 3 years older,yes,currently married,40-44,35-44,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,currently partnered,yes,no/primary,Not working,Support from relatives/friends,African,yes,no,no,no,46,45-54,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.829023734803922,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,yes,0,Partner at most 3 years older,yes,currently married,30-34,25-34,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Working,Support from partner/husband,Mixed,yes,no,no,no,31,25-34,higher/tech/vocational,no,no,no,no,no,no,frequently,frequently,no,no,no,no,no,no,no,no,Guyana,.147527125686275,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,no,yes,physical only,yes,no,yes,yes,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,3,3+,yes,7,Partner 4 to 8 years older,yes,"living with man, not married",25-29,25-34,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Out of the labor force,Support from partner/husband,Mixed,yes,no,yes,no,36,35-44,higher/tech/vocational,yes,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,yes,no,yes,no,Guyana,.137733093578431,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,no,no,no,no violence,no,no,yes,no,no,no,no,no,no,no,no,no,Not christian,19 or older,no,yes,2,2,yes,0,Partner at most 3 years older,yes,"living with man, not married",20-24,15-24,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,no,no,no,23,15-24,secondary,no,no,no,no,no,no,frequently,frequently,no,no,no,no,no,yes,no,yes,Guyana,.178998235637255,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,yes,yes,both,no,no,yes,no,no,no,yes,no,no,no,yes,no,Not christian,18 or younger,no,yes,7,3+,yes,6,Partner 4 to 8 years older,yes,currently no partner,20-24,15-24,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,formerly partnered,no,secondary,Not working,Support from relatives/friends,Mixed,no,yes,no,yes,30,25-34,secondary,no,yes,no,no,yes,yes,frequently,frequently,yes,yes,yes,yes,yes,no,yes,yes,Guyana,.66385909754902,yes,no,no,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,no,no,no,no violence,no,no,yes,no,no,no,no,no,no,no,no,no,Christian,19 or older,yes,yes,2,2,yes,0,Partner at most 3 years older,yes,currently married,35-39,35-44,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,currently partnered,no,higher/tech/vocational,Working,Support from partner/husband,Mixed,yes,no,yes,yes,37,35-44,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,no,yes,no,no,Guyana,.276011711960784,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,yes,2,2,no,15, Partner at least 9 years older,yes,"regular partner, living apart",30-34,25-34,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,currently partnered,no,no/primary,Working,No income/pension/social services/other,East Indian,yes,no,no,no,47,45-54,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,yes,no,no,no,Guyana,.473327089068627,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,no,no,no,no violence,no,no,yes,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,yes,2,2,yes,4,Partner 4 to 8 years older,yes,"living with man, not married",20-24,15-24,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,Mixed,yes,no,no,no,25,25-34,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,yes,no,no,yes,no,no,no,no,Guyana,.857899470588235,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,no,yes,physical only,yes,no,yes,yes,no,no,no,no,no,no,no,no,Not christian,18 or younger,yes,yes,3,3+,yes,4,Partner 4 to 8 years older,yes,currently married,50-54,45-54,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,yes,no,no,54,45-54,no/primary,yes,yes,yes,yes,yes,no,sometimes,sometimes,no,no,no,yes,yes,no,yes,no,Guyana,.738282309313725,no,no,no,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,no,yes,physical only,no,no,yes,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,yes,-1,Woman is older,yes,"living with man, not married",35-39,35-44,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Working,Support from partner/husband,Mixed,yes,yes,no,no,34,25-34,secondary,no,no,no,no,no,no,frequently,frequently,no,no,no,no,no,no,no,no,Guyana,.813334789705882,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,-4,Woman is older,yes,currently married,50-54,45-54,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,Mixed,no,no,no,no,50,45-54,higher/tech/vocational,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.313269947107843,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,yes,no,yes,no,yes,no,yes,no,Not christian,19 or older,no,yes,2,2,no,5,Partner 4 to 8 years older,yes,currently married,30-34,25-34,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,no,no,no,38,35-44,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,no,no,yes,no,Guyana,.353666148970588,yes,no,yes,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,no,yes,physical only,no,no,no,no,no,no,yes,no,no,no,yes,no,Christian,19 or older,no,yes,2,2,yes,10, Partner at least 9 years older,yes,currently no partner,50-54,45-54,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,formerly partnered,no,secondary,Working,Income from own work,African,yes,yes,no,no,62,55-64,no/primary,no,no,no,no,no,no,sometimes,sometimes,no,no,no,yes,no,no,no,yes,Guyana,.153780843872549,no,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,19 or older,no,no,0,none,no,2,Partner at most 3 years older,yes,currently married,50-54,45-54,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,currently partnered,no,no/primary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,no,no,no,56,55-64,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.740017438235294,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,yes,yes,both,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,19 or older,no,yes,6,3+,yes,-1,Woman is older,yes,currently no partner,40-44,35-44,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,formerly partnered,no,secondary,Not working,No income/pension/social services/other,East Indian,yes,yes,no,no,40,35-44,no/primary,yes,yes,no,no,yes,no,rarely/never/NA,rarely/never/NA,yes,yes,yes,yes,yes,no,no,yes,Guyana,.370008719215686,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,yes,3,3+,no,12, Partner at least 9 years older,no,"living with man, not married",45-49,45-54,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,no,no,no,61,55-64,no/primary,no,no,no,no,no,no,sometimes,sometimes,no,no,yes,yes,no,no,no,yes,Guyana,.236996359558824,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,19 or older,no,yes,1,1,no,4,Partner 4 to 8 years older,yes,currently married,35-39,35-44,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,no,no,no,42,35-44,no/primary,no,no,no,no,yes,no,rarely/never/NA,rarely/never/NA,no,no,no,yes,no,no,no,no,Guyana,.543723893137255,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,8,Partner 4 to 8 years older,yes,"regular partner, living apart",25-29,25-34,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Not working,Equal share self and partner,Indigenous/other,yes,no,yes,no,34,25-34,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.412446824852941,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,no,no,no,no violence,no,no,yes,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,1,1,yes,5,Partner 4 to 8 years older,yes,currently married,55-59,55-64,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,currently partnered,no,higher/tech/vocational,Out of the labor force,No income/pension/social services/other,African,yes,no,yes,yes,62,55-64,higher/tech/vocational,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,yes,no,Guyana,.346775108431373,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,yes,yes,both,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,Christian,18 or younger,no,yes,5,3+,yes,3,Partner at most 3 years older,yes,currently married,20-24,15-24,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,Mixed,no,yes,yes,no,24,15-24,secondary,yes,yes,yes,yes,yes,no,sometimes,sometimes,no,yes,yes,yes,yes,no,yes,no,Guyana,1.1344227122549,yes,no,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,18 or younger,no,no,0,none,yes,9, Partner at least 9 years older,yes,"living with man, not married",25-29,25-34,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,currently partnered,no,secondary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,no,no,no,34,25-34,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.505973049019608,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,yes,yes,both,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,yes,4,Partner 4 to 8 years older,yes,currently married,45-49,45-54,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,secondary,Working,Support from partner/husband,African,yes,yes,yes,yes,52,45-54,no/primary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.280979463284314,no,no,no,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,no,0,none,no,3,Partner at most 3 years older,yes,"living with man, not married",25-29,25-34,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,currently partnered,yes,secondary,Working,Equal share self and partner,African,yes,no,no,yes,28,25-34,higher/tech/vocational,no,no,no,no,no,no,sometimes,sometimes,no,no,no,no,no,no,no,no,Guyana,.375422322009804,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Christian,not married/cohabitated,no,yes,2,2,no,9, Partner at least 9 years older,no,currently no partner,35-39,35-44,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,formerly partnered,not married/cohabitated,secondary,Working,Income from own work,African,no,no,no,no,44,35-44,secondary,no,no,no,no,yes,yes,sometimes,sometimes,no,no,yes,yes,no,no,no,no,Guyana,.552023424019608,no,no,no,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,yes,yes,yes,yes,both,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,19 or older,no,yes,2,2,yes,0,Partner at most 3 years older,no,currently no partner,60-64,55-64,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,formerly partnered,no,secondary,Working,Income from own work,East Indian,yes,yes,yes,no,63,55-64,secondary,yes,no,no,no,no,no,frequently,frequently,no,no,no,yes,yes,no,no,no,Guyana,.262737387303922,no,no,yes,no,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,yes,no,yes,physical only,yes,no,no,yes,no,no,no,no,no,no,no,no,Not christian,18 or younger,no,yes,4,3+,yes,0,Partner at most 3 years older,yes,"living with man, not married",20-24,15-24,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,currently partnered,no,secondary,Out of the labor force,Support from partner/husband,East Indian,no,no,yes,no,23,15-24,no/primary,no,no,yes,no,yes,no,sometimes,sometimes,no,no,yes,yes,yes,no,no,yes,Guyana,.490545381862745,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,yes,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,18 or younger,no,no,0,none,yes,2,Partner at most 3 years older,yes,currently married,40-44,35-44,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,currently partnered,no,no/primary,Housework/work as unpaid family member,Equal share self and partner,East Indian,yes,no,no,no,44,35-44,secondary,no,no,no,no,no,no,rarely/never/NA,rarely/never/NA,no,no,no,no,no,no,no,no,Guyana,.353686652843137,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,no,no,no,no,no violence,no,no,no,no,no,no,no,no,no,no,no,no,Not christian,18 or younger,no,yes,4,3+,no,5,Partner 4 to 8 years older,yes,"living with man, not married",45-49,45-54,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,currently partnered,no,no/primary,Working,Support from partner/husband,East Indian,yes,no,no,no,50,45-54,no/primary,no,no,no,yes,no,no,frequently,frequently,no,yes,yes,yes,no,no,no,yes,Guyana,.187012498872549,yes,yes,yes,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
yes,no,yes,yes,yes,yes,both,no,no,no,no,no,no,no,no,no,no,no,no,Christian,19 or older,no,yes,3,3+,yes,-5,Woman is older,yes,"living with man, not married",60-64,55-64,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,currently partnered,no,secondary,Working,Income from own work,African,yes,yes,yes,no,59,55-64,no/primary,yes,no,yes,no,yes,yes,sometimes,sometimes,no,no,yes,yes,no,yes,no,no,Guyana,.715823445098039,no,no,no,yes,no,no,.16,.654,37,50th or lower,125th,39th or lower
